Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Justin Turner,Dodgers,139,613,533,150,32,1,26,86,85,58,96,15,3,1,0.281,0.364,0.487,0.852,0.359,125,-0.7,-3.3,19.7,-1,3.7,5235
Max Kepler,Twins,147,640,558,145,34,1,30,93,89,66,109,7,6,3,0.26,0.343,0.49,0.834,0.349,117,1.3,6.2,15.5,-0.5,3.7,12144
Buster Posey,Giants,117,508,451,124,26,1,11,55,55,47,74,6,2,1,0.274,0.347,0.409,0.756,0.324,102,-2.2,5.7,-0.7,13,3.6,9166
Bo Bichette,Blue Jays,147,670,609,167,42,3,22,93,75,46,136,5,24,9,0.275,0.328,0.463,0.792,0.332,107,0.9,-0.8,7.1,6.6,3.6,19612
J.D. Martinez,Red Sox,150,649,570,172,34,2,39,101,119,69,148,4,3,1,0.301,0.378,0.576,0.954,0.39,142,-3.1,-1.1,31.5,-17.4,3.6,6184
Vladimir Guerrero Jr.,Blue Jays,143,622,553,163,33,2,25,86,87,57,98,5,3,1,0.295,0.363,0.501,0.864,0.362,127,-1.6,-3.5,20.1,-5.2,3.6,19611
Gleyber Torres,Yankees,150,618,552,150,26,1,34,86,98,54,128,5,6,3,0.272,0.339,0.509,0.849,0.352,120,-0.2,-8.7,15.9,-1.2,3.5,16997
Jeff McNeil,Mets,147,660,594,171,36,3,20,88,73,42,88,15,9,4,0.288,0.348,0.462,0.81,0.342,115,1,-0.3,14.4,0.7,3.5,15362
Matt Olson,Athletics,150,642,558,142,29,1,38,91,103,68,158,10,1,1,0.255,0.344,0.515,0.858,0.355,125,-0.7,5.8,20.2,-6.7,3.5,14344
Paul DeJong,Cardinals,150,642,573,145,31,1,29,79,89,51,151,10,7,3,0.252,0.322,0.464,0.786,0.33,105,0.8,2.7,5.2,10.2,3.5,18015
Yordan Alvarez,Astros,143,602,520,143,28,1,39,93,107,72,147,4,3,1,0.276,0.366,0.556,0.922,0.377,140,-0.2,0,30.7,-16.6,3.4,19556
Andrelton Simmons,Angels,146,616,564,157,31,2,12,69,71,40,58,4,10,4,0.277,0.328,0.403,0.731,0.312,95,-0.3,9.9,-3.9,17.2,3.4,10847
Paul Goldschmidt,Cardinals,150,663,566,154,29,2,31,91,91,84,158,6,5,2,0.273,0.369,0.494,0.863,0.362,126,1.3,1.8,24.1,-10.7,3.4,9218
Peter Alonso,Mets,150,663,573,144,27,2,44,98,105,68,167,14,2,1,0.252,0.343,0.533,0.877,0.361,128,-0.5,1.3,23.9,-11.2,3.3,19251
Tommy Pham,Padres,146,652,557,151,28,3,25,92,76,79,141,7,18,7,0.271,0.366,0.466,0.832,0.353,120,1.4,1.9,18.3,-5.4,3.3,2967
Javier Baez,Cubs,150,637,593,162,34,4,32,84,100,33,169,4,14,6,0.273,0.313,0.507,0.82,0.336,106,2,-1.6,7.3,5.9,3.3,12979
DJ LeMahieu,Yankees,150,683,615,175,30,2,19,93,74,54,100,5,7,3,0.285,0.345,0.434,0.779,0.332,107,-0.5,3,5.6,3.9,3.3,9874
Ramon Laureano,Athletics,147,597,536,141,31,1,23,76,79,45,149,8,14,5,0.264,0.327,0.457,0.784,0.331,109,2.3,1,9.3,3,3.2,17128
Joey Gallo,Rangers,149,616,513,118,22,2,43,90,101,90,216,6,8,3,0.23,0.349,0.533,0.881,0.363,118,2.3,3.1,16.7,-5.1,3.2,14128
Byron Buxton,Twins,139,542,492,129,32,4,20,73,73,37,137,5,23,7,0.262,0.317,0.461,0.778,0.325,101,4.2,6.3,5.1,8.7,3.2,14161
Michael Conforto,Mets,139,603,509,128,27,1,31,82,85,79,143,8,5,2,0.251,0.358,0.489,0.847,0.354,123,0.9,-0.6,19.6,-7.2,3.1,16376
